checkpoint,train_task,eval_task,variant,seed,phase3,asym_L_median,asym_U_median,A_median,B0_median,gamma,B_median,used_term_norm_median,n_eval
runs/phase2_restart_v2/phase2_v2_cycle_symmetric_control_seed0/checkpoint_final.pt,cycle,cycle,symmetric_control,0,False,0.5900039672851562,0.3150627315044403,47.34438896179199,150.40673065185547,0.31477573348349314,150.40673065185547,150.40673065185547,10000
runs/phase2_restart_v2/phase2_v2_cycle_symmetric_control_seed1/checkpoint_final.pt,cycle,cycle,symmetric_control,1,False,0.7719678580760956,0.371937096118927,37.127471923828125,99.59809875488281,0.3727728981574354,99.59809875488281,99.59809875488281,10000
runs/phase2_restart_v2/phase2_v2_forward_symmetric_control_seed1/checkpoint_final.pt,forward,forward,symmetric_control,1,False,1.0697888731956482,0.7606516182422638,27.421835899353027,36.52357864379883,0.7507981670358268,36.52357864379883,36.52357864379883,10000
runs/phase2_restart_v2/phase2_v2_forward_mechanism_seed0/checkpoint_final.pt,forward,forward,mechanism,0,False,0.7711903750896454,1.6330527663230896,44.742631912231445,27.410847663879395,1.6322965440864854,27.410847663879395,44.742631912231445,10000
runs/phase2_restart_v2/phase2_v2_forward_mechanism_seed1/checkpoint_final.pt,forward,forward,mechanism,1,False,0.9978718161582947,1.1674450039863586,30.643141746520996,26.090750694274902,1.174482946297326,26.090750694274902,30.643141746520996,10000
runs/phase3_multitask/no_injection/seed_2/checkpoint_final.pt,multitask,forward,no_injection,2,True,0.8354951739311218,0.9485097825527191,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/no_injection/seed_2/checkpoint_final.pt,multitask,backward,no_injection,2,True,0.934187114238739,0.9549578428268433,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/no_injection/seed_1/checkpoint_final.pt,multitask,forward,no_injection,1,True,0.8795639276504517,1.0413641929626465,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/no_injection/seed_1/checkpoint_final.pt,multitask,backward,no_injection,1,True,0.890207976102829,1.0460821986198425,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/no_injection/seed_0/checkpoint_final.pt,multitask,forward,no_injection,0,True,0.8234891593456268,0.9291999936103821,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/no_injection/seed_0/checkpoint_final.pt,multitask,backward,no_injection,0,True,0.7859106063842773,0.945854514837265,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_multitask/mechanism/seed_2/checkpoint_final.pt,multitask,forward,mechanism,2,True,0.7885875999927521,3.5261497497558594,115.88603591918945,32.68997383117676,3.5450024070887376,32.68997383117676,115.88603591918945,10000
runs/phase3_multitask/mechanism/seed_2/checkpoint_final.pt,multitask,backward,mechanism,2,True,0.7578443288803101,3.34405779838562,109.36903381347656,32.5525016784668,3.3597735404103597,32.5525016784668,109.36903381347656,10000
runs/phase3_multitask/mechanism/seed_1/checkpoint_final.pt,multitask,forward,mechanism,1,True,0.7028453052043915,2.101418614387512,67.8157730102539,32.28088569641113,2.1008027365802238,32.28088569641113,67.8157730102539,10000
runs/phase3_multitask/mechanism/seed_1/checkpoint_final.pt,multitask,backward,mechanism,1,True,0.6986618041992188,2.1067280769348145,68.10480499267578,32.33103942871094,2.106483620572887,32.33103942871094,68.10480499267578,10000
runs/phase3_multitask/mechanism/seed_0/checkpoint_final.pt,multitask,forward,mechanism,0,True,0.828408420085907,2.7083781957626343,96.27672958374023,35.568246841430664,2.706816841801576,35.568246841430664,96.27672958374023,10000
runs/phase3_multitask/mechanism/seed_0/checkpoint_final.pt,multitask,backward,mechanism,0,True,0.7239338755607605,3.551124095916748,149.0199966430664,41.93209457397461,3.553840993565738,41.93209457397461,149.0199966430664,10000
